county,county_fips,state,county_population,health_service_area_number,health_service_area,health_service_area_population,covid_inpatient_bed_utilization,covid_hospital_admissions_per_100k,covid_cases_per_100k,covid-19_community_level,date_updated,epoch
Los Angeles County,06037,California,10039107,824,"Los Angeles (Los Angeles), CA",10039107,7.2,10.8,426.25,High,2022-07-28,1658991600
Madera County,06039,California,157327,718,"Fresno (Fresno), CA - Kings, CA",1309368,12.7,19.1,457.65,High,2022-07-28,1658991600
Marin County,06041,California,258826,764,"Sonoma (Santa Rosa), CA - Marin, CA",753162,7.7,13.7,204.77,High,2022-07-28,1658991600
Orange County,06059,California,3175692,825,"Orange, CA",3175692,6.4,16.0,295.02,High,2022-07-28,1658991600
San Bernardino County,06071,California,2180085,768,"San Bernardino, CA - Riverside (Riverside), CA",4650631,7.6,9.6,353.75,Medium,2022-07-28,1658991600
Sutter County,06101,California,96971,690,"Sutter (Yuba City), CA - Yuba, CA",197186,6.0,13.2,239.25,High,2022-07-28,1658991600
Yolo County,06113,California,220500,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,9.6,17.6,238.10,High,2022-07-28,1658991600
Amador County,06005,California,39752,750,"San Joaquin (Stockton), CA - Calaveras, CA",847805,8.8,12.3,299.36,High,2022-07-28,1658991600
Contra Costa County,06013,California,1153526,766,"Alameda (Oakland), CA - Contra Costa, CA",2824855,6.4,12.3,294.66,High,2022-07-28,1658991600
Kings County,06031,California,152940,718,"Fresno (Fresno), CA - Kings, CA",1309368,12.7,19.1,425.00,High,2022-07-28,1658991600
Lassen County,06035,California,30573,780,"Lassen, CA - Plumas, CA",49380,1.4,8.1,222.42,Medium,2022-07-28,1658991600
Mendocino County,06045,California,86749,811,"Mendocino, CA",86749,9.5,5.8,295.10,Medium,2022-07-28,1658991600
Nevada County,06057,California,99755,753,"Nevada, CA - Sierra, CA",102760,5.0,4.9,164.40,Low,2022-07-28,1658991600
Plumas County,06063,California,18807,780,"Lassen, CA - Plumas, CA",49380,1.4,8.1,255.22,Medium,2022-07-28,1658991600
Riverside County,06065,California,2470546,768,"San Bernardino, CA - Riverside (Riverside), CA",4650631,7.6,9.6,329.72,Medium,2022-07-28,1658991600
San Benito County,06069,California,62808,751,"Santa Clara (San Jose), CA - Monterey, CA",2424721,7.6,12.9,412.37,High,2022-07-28,1658991600
San Luis Obispo County,06079,California,283111,781,"Santa Barbara (Santa Barbara), CA - San Luis Obispo, CA",729610,6.2,8.9,234.18,Medium,2022-07-28,1658991600
Santa Barbara County,06083,California,446499,781,"Santa Barbara (Santa Barbara), CA - San Luis Obispo, CA",729610,6.2,8.9,284.88,Medium,2022-07-28,1658991600
Santa Clara County,06085,California,1927852,751,"Santa Clara (San Jose), CA - Monterey, CA",2424721,7.6,12.9,330.68,High,2022-07-28,1658991600
Siskiyou County,06093,California,43539,752,"Jackson (Medford), OR - Josephine, OR",351970,6.3,17.9,206.71,High,2022-07-28,1658991600
Stanislaus County,06099,California,550660,737,"Stanislaus (Modesto), CA - Merced, CA",900021,10.1,17.4,275.31,High,2022-07-28,1658991600
Tuolumne County,06109,California,54478,737,"Stanislaus (Modesto), CA - Merced, CA",900021,10.1,17.4,414.85,High,2022-07-28,1658991600
Ventura County,06111,California,846006,790,"Ventura, CA",846006,7.9,16.0,348.46,High,2022-07-28,1658991600
Solano County,06095,California,447643,746,"Solano (Vallejo), CA - Napa, CA",649773,8.5,18.2,253.55,High,2022-07-28,1658991600
Alameda County,06001,California,1671329,766,"Alameda (Oakland), CA - Contra Costa, CA",2824855,6.4,12.3,282.17,High,2022-07-28,1658991600
El Dorado County,06017,California,192843,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,9.6,17.6,176.31,Medium,2022-07-28,1658991600
Fresno County,06019,California,999101,718,"Fresno (Fresno), CA - Kings, CA",1309368,12.7,19.1,377.94,High,2022-07-28,1658991600
Humboldt County,06023,California,135558,800,"Humboldt, CA",135558,7.2,11.1,270.00,High,2022-07-28,1658991600
Inyo County,06027,California,18039,816,"Inyo, CA - Mono, CA",32483,2.2,6.2,327.07,Medium,2022-07-28,1658991600
Lake County,06033,California,64386,746,"Solano (Vallejo), CA - Napa, CA",649773,8.5,18.2,228.31,High,2022-07-28,1658991600
Mariposa County,06043,California,17203,737,"Stanislaus (Modesto), CA - Merced, CA",900021,10.1,17.4,319.71,High,2022-07-28,1658991600
Merced County,06047,California,277680,737,"Stanislaus (Modesto), CA - Merced, CA",900021,10.1,17.4,318.35,High,2022-07-28,1658991600
